it, train, val, acc 
6727, 0.328837, 0.360089, 0.460938 
6758, 0.331454, 0.312552, 0.460938 
6789, 0.328792, 0.298837, 0.523438 
6820, 0.346413, 0.307755, 0.445312 
6851, 0.315361, 0.333853, 0.617188 
6882, 0.357903, 0.284688, 0.507812 
6913, 0.358132, 0.308252, 0.468750 
6944, 0.348430, 0.330511, 0.515625 
6975, 0.304766, 0.312590, 0.500000 
7006, 0.342082, 0.337233, 0.546875 
7037, 0.319875, 0.303454, 0.414062 
7068, 0.334807, 0.329071, 0.546875 
7099, 0.347969, 0.282393, 0.429688 
7130, 0.331313, 0.316076, 0.515625 
7161, 0.317897, 0.348338, 0.484375 
7192, 0.342994, 0.309643, 0.562500 
7223, 0.375160, 0.320737, 0.562500 
7254, 0.316380, 0.329886, 0.398438 
7285, 0.308649, 0.355030, 0.359375 
7316, 0.342593, 0.318184, 0.484375 
7347, 0.359935, 0.322424, 0.328125 
7378, 0.335370, 0.311638, 0.429688 
7409, 0.341243, 0.308471, 0.445312 
7440, 0.368389, 0.340184, 0.476562 
7471, 0.344263, 0.275264, 0.484375 
7502, 0.324828, 0.295743, 0.398438 
7533, 0.311565, 0.305889, 0.421875 
7564, 0.329080, 0.338880, 0.453125 
7595, 0.319897, 0.305564, 0.453125 
7626, 0.343993, 0.356779, 0.367188 
7657, 0.374808, 0.321698, 0.343750 
7688, 0.316456, 0.290801, 0.429688 
7719, 0.313227, 0.268938, 0.429688 
7750, 0.335230, 0.320473, 0.390625 
7781, 0.329578, 0.290655, 0.421875 
7812, 0.341012, 0.303310, 0.429688 
7843, 0.294295, 0.287666, 0.367188 
7874, 0.321365, 0.293248, 0.421875 
7905, 0.300245, 0.324740, 0.437500 
7936, 0.328480, 0.292802, 0.460938 
7967, 0.333127, 0.283561, 0.351562 
7998, 0.338250, 0.289084, 0.359375 
8029, 0.313109, 0.334902, 0.539062 
8060, 0.275210, 0.282009, 0.460938 
8091, 0.336433, 0.282536, 0.367188 
8122, 0.303650, 0.285286, 0.382812 
8153, 0.302484, 0.301639, 0.406250 
8184, 0.325495, 0.302104, 0.382812 
8215, 0.304409, 0.308947, 0.445312 
8246, 0.313603, 0.302959, 0.507812 
8277, 0.297226, 0.282765, 0.382812 
8308, 0.311687, 0.311316, 0.398438 
8339, 0.295899, 0.268165, 0.359375 
8370, 0.312610, 0.280918, 0.375000 
8401, 0.329605, 0.311672, 0.382812 
8432, 0.331927, 0.280783, 0.328125 
8463, 0.321689, 0.316592, 0.398438 
8494, 0.312680, 0.320928, 0.320312 
8525, 0.312685, 0.252302, 0.375000 
8556, 0.321393, 0.267596, 0.304688 
8587, 0.332125, 0.281644, 0.335938 
8618, 0.324226, 0.306063, 0.351562 
8649, 0.306917, 0.302168, 0.414062 
8680, 0.331644, 0.289212, 0.359375 
8711, 0.280907, 0.290196, 0.296875 
8742, 0.295349, 0.279035, 0.328125 
8773, 0.331853, 0.275015, 0.421875 
8804, 0.305072, 0.285673, 0.367188 
8835, 0.305703, 0.300113, 0.312500 
8866, 0.294064, 0.295308, 0.320312 
8897, 0.293508, 0.270602, 0.414062 
8928, 0.326893, 0.294097, 0.343750 
8959, 0.307151, 0.278604, 0.335938 
8990, 0.297835, 0.261230, 0.429688 
9021, 0.307254, 0.267595, 0.343750 
9052, 0.308483, 0.319810, 0.312500 
9083, 0.330183, 0.254748, 0.312500 
9114, 0.294600, 0.248384, 0.257812 
9145, 0.312784, 0.265451, 0.359375 
9176, 0.297959, 0.257986, 0.328125 
9207, 0.301124, 0.278479, 0.289062 
9238, 0.288740, 0.272094, 0.296875 
9269, 0.296873, 0.321977, 0.320312 
9300, 0.306612, 0.268322, 0.328125 
9331, 0.282778, 0.230116, 0.281250 
9362, 0.286786, 0.270198, 0.289062 
9393, 0.297881, 0.311519, 0.281250 
9424, 0.282912, 0.262632, 0.195312 
9455, 0.294108, 0.241477, 0.359375 
9486, 0.288491, 0.304462, 0.304688 
9517, 0.293047, 0.249276, 0.289062 
9548, 0.244171, 0.248965, 0.304688 
9579, 0.298298, 0.260305, 0.281250 
9610, 0.301421, 0.271055, 0.320312 
9641, 0.286875, 0.232749, 0.234375 
9672, 0.275405, 0.241199, 0.281250 
9703, 0.276282, 0.261096, 0.250000 
9734, 0.303295, 0.293600, 0.234375 
9765, 0.278996, 0.289423, 0.281250 
9796, 0.286900, 0.242523, 0.351562 
9827, 0.287842, 0.287210, 0.281250 
9858, 0.278194, 0.262995, 0.312500 
9889, 0.311558, 0.254166, 0.281250 
9920, 0.285439, 0.269209, 0.289062 
9951, 0.264088, 0.269219, 0.234375 
9982, 0.308701, 0.298655, 0.250000 
10013, 0.303239, 0.235428, 0.250000 
10044, 0.279160, 0.249230, 0.296875 
10075, 0.307554, 0.278605, 0.242188 
10106, 0.270294, 0.269311, 0.335938 
10137, 0.285725, 0.273158, 0.257812 
10168, 0.288566, 0.261723, 0.265625 
10199, 0.264164, 0.247751, 0.281250 
10230, 0.291124, 0.260178, 0.218750 
10261, 0.258037, 0.263796, 0.203125 
10292, 0.274781, 0.286302, 0.289062 
10323, 0.261437, 0.252979, 0.203125 
10354, 0.292017, 0.251027, 0.187500 
10385, 0.287492, 0.246872, 0.242188 
10416, 0.268217, 0.264884, 0.265625 
10447, 0.293649, 0.255982, 0.218750 
10478, 0.284775, 0.268569, 0.179688 
10509, 0.261788, 0.243189, 0.218750 
10540, 0.274833, 0.279927, 0.335938 
10571, 0.285193, 0.248417, 0.179688 
10602, 0.286027, 0.256092, 0.179688 
10633, 0.279182, 0.248993, 0.234375 
10664, 0.263211, 0.245026, 0.171875 
10695, 0.240409, 0.245269, 0.296875 
10726, 0.258459, 0.219699, 0.203125 
10757, 0.266181, 0.253069, 0.195312 
10788, 0.266621, 0.270879, 0.140625 
10819, 0.275191, 0.239859, 0.187500 
10850, 0.273950, 0.221304, 0.250000 
10881, 0.262534, 0.216935, 0.242188 
10912, 0.258219, 0.255598, 0.156250 
10943, 0.274802, 0.287654, 0.164062 
10974, 0.240594, 0.232959, 0.179688 
11005, 0.262582, 0.225803, 0.171875 
11036, 0.265645, 0.244750, 0.148438 
11067, 0.302714, 0.251479, 0.273438 
11098, 0.279038, 0.232375, 0.164062 
11129, 0.265671, 0.251618, 0.218750 
11160, 0.284772, 0.250440, 0.218750 
11191, 0.233743, 0.252520, 0.117188 
11222, 0.257262, 0.254650, 0.171875 
11253, 0.248269, 0.248921, 0.164062 
11284, 0.292205, 0.272587, 0.132812 
11315, 0.261266, 0.224671, 0.156250 
11346, 0.289342, 0.230654, 0.218750 
11377, 0.235683, 0.252079, 0.156250 
11408, 0.288316, 0.249079, 0.187500 
11439, 0.245576, 0.259790, 0.203125 
11470, 0.279964, 0.248218, 0.148438 
11501, 0.241829, 0.249715, 0.203125 
11532, 0.265990, 0.262154, 0.156250 
11563, 0.256355, 0.252663, 0.179688 
11594, 0.265855, 0.244089, 0.179688 
11625, 0.250663, 0.230349, 0.164062 
11656, 0.281034, 0.259464, 0.195312 
11687, 0.258620, 0.237963, 0.156250 
11718, 0.265598, 0.222839, 0.195312 
11749, 0.242289, 0.259670, 0.125000 
11780, 0.288526, 0.228518, 0.140625 
11811, 0.262091, 0.239133, 0.203125 
11842, 0.271909, 0.243790, 0.132812 
11873, 0.280621, 0.228035, 0.125000 
11904, 0.258208, 0.237569, 0.132812 
11935, 0.203996, 0.254417, 0.117188 
11966, 0.229563, 0.227579, 0.125000 
11997, 0.254283, 0.241846, 0.132812 
12028, 0.229906, 0.202803, 0.109375 
12059, 0.263238, 0.254076, 0.125000 
12090, 0.251975, 0.229844, 0.203125 
12121, 0.253492, 0.249751, 0.148438 
12152, 0.259854, 0.241783, 0.164062 
12183, 0.254035, 0.227873, 0.195312 
12214, 0.253592, 0.232802, 0.203125 
12245, 0.237181, 0.220051, 0.164062 
